id,owner_id,language,created_at,updated_at,stargazers_count,forks_count
610791194,346687,Java,07-03-23,07-03-23,0,0
613695207,346687,,14-03-23,14-03-23,0,0
250598823,404506,Java,27-03-20,27-08-20,0,0
251688437,404506,Shell,31-03-20,08-04-20,0,0
10096889,404506,Java,16-05-13,16-05-13,0,0
257866740,404506,,22-04-20,22-04-20,0,0
268869213,404506,,02-06-20,02-06-20,0,0
61646822,404506,Java,21-06-16,21-06-16,0,0
141803285,404506,Java,21-07-18,09-04-23,1,2
142219593,404506,Java,24-07-18,06-11-18,0,0
173836763,404506,TypeScript,04-03-19,04-03-19,0,0
252873387,404506,Jupyter Notebook,04-04-20,08-06-20,0,0
631830443,404506,Java,24-04-23,24-04-23,0,0
115794665,404506,JavaScript,30-12-17,30-12-17,0,0
308480938,404506,,30-10-20,30-10-20,0,0
530383706,404506,Dockerfile,29-08-22,29-08-22,0,0
511077869,404506,,06-07-22,14-08-21,0,0
187626591,404506,Shell,20-05-19,30-07-19,0,0
137887373,404506,Shell,19-06-18,19-06-18,0,0
164251331,404506,Shell,05-01-19,05-01-19,0,0
56224159,404506,JavaScript,14-04-16,14-04-16,0,0
71793981,404506,Java,24-10-16,31-10-16,0,0
69795617,404506,Shell,02-10-16,02-10-16,0,0
143833937,404506,Shell,07-08-18,08-08-18,0,0
15005814,404506,Java,07-12-13,07-12-13,0,0
250599859,404506,Java,27-03-20,07-12-22,0,0
92660671,404506,Java,28-05-17,28-05-17,0,5
176814659,404506,Java,20-03-19,22-02-23,2,0
189686329,404506,Shell,01-06-19,27-08-20,0,0
187170584,404506,Java,17-05-19,29-01-23,3,0
177799484,404506,TypeScript,26-03-19,16-10-22,0,0
272390404,404506,Dockerfile,15-06-20,23-08-21,0,0
252495912,404506,Shell,02-04-20,12-05-20,0,0
319550967,404506,,08-12-20,23-08-21,0,0
2867040,404506,JavaScript,28-11-11,04-01-13,1,0
32316568,404506,,16-03-15,16-03-15,0,0
135948759,404506,,03-06-18,03-06-18,0,0
141999918,404506,Java,23-07-18,21-10-18,0,0
144773244,404506,Java,14-08-18,03-01-19,0,0
173834997,404506,TypeScript,04-03-19,04-03-19,0,0
2867310,404506,Ruby,28-11-11,04-01-13,1,0
62224202,404506,Java,29-06-16,29-06-16,0,0
56519537,404506,,18-04-16,15-04-16,0,0
84042802,404506,Java,06-03-17,06-03-17,0,0
394300603,404506,,09-08-21,18-04-22,0,0
60834384,404506,Java,10-06-16,10-06-16,0,0
147522270,404506,Java,05-09-18,05-09-18,0,0
99231338,404506,Java,03-08-17,03-08-17,0,0
511170268,404506,,06-07-22,17-03-22,0,0
210356352,404506,Java,23-09-19,28-10-21,1,0
60517441,404506,Java,06-06-16,06-06-16,0,0
84190922,404506,Java,07-03-17,07-03-17,0,0
74446353,404506,Java,22-11-16,22-11-16,0,0
63339438,404506,Java,14-07-16,14-07-16,0,0
127125651,404506,Java,28-03-18,28-03-18,0,0
24074263,404506,,15-09-14,20-08-14,0,0
13507230,404506,Ruby,11-10-13,11-10-13,0,0
11145257,404506,Java,03-07-13,03-07-13,0,0
241744727,404506,,19-02-20,19-02-20,0,0
1574224,404506,Ruby,05-04-11,10-03-15,1,0
26142690,404506,,03-11-14,28-10-14,0,0
8588016,404506,Ruby,05-03-13,01-12-13,0,0
173834652,404506,,04-03-19,24-04-19,0,0
77208474,404506,Java,23-12-16,23-12-16,0,0
79669085,404506,Java,21-01-17,21-01-17,0,0
56223970,404506,HTML,14-04-16,14-04-16,0,0
64871078,404506,HTML,03-08-16,03-08-16,0,0
6046881,404506,,02-10-12,21-04-14,0,0
11901060,404506,,05-08-13,05-08-13,0,0
352025736,510444,,27-03-21,30-03-21,0,0
36006091,584572,,21-05-15,05-04-15,0,0
36003344,584572,,21-05-15,25-04-15,0,0
103432781,584572,,13-09-17,11-05-15,0,0
10326759,584572,Shell,28-05-13,29-01-14,0,2
8499931,584572,Groovy,01-03-13,29-05-13,0,0
153997562,584572,C++,21-10-18,21-10-18,0,0
272166623,584572,,14-06-20,04-02-21,0,0
136065618,584572,Python,04-06-18,21-07-18,0,0
