id,city_id,followers,following,created_at,updated_at
346687,0,0,2,2010-07-28,2024-03-13
404506,0,5,8,2010-09-17,2024-03-25
510444,,0,1,2010-12-05,2021-03-27
705308,0,47,36,2011-04-02,2024-03-10
755840,0,21,20,2011-04-28,2024-03-22
858200,0,0,2,2011-06-18,2024-04-05
943711,0,0,0,2011-07-28,2015-04-07
1238258,0,0,1,2011-12-03,2019-12-20
1238272,0,0,0,2011-12-03,2015-04-07
1238275,0,0,0,2011-12-03,2015-04-07
1238281,0,0,0,2011-12-03,2022-06-08
1238296,0,0,0,2011-12-03,2015-04-07
1241552,,0,0,2011-12-05,2024-03-25
1401510,0,3,1,2012-02-02,2023-05-22
1554715,,9,5,2012-03-19,2024-03-13
1572774,,2,5,2012-03-25,2023-11-04
1692858,0,26,18,2012-04-30,2024-04-03
2085965,,0,0,2012-08-02,2015-04-07
2129497,8,3,25,2012-08-10,2024-04-04
2843256,,1,0,2012-11-20,2015-10-06
3097242,0,0,0,2012-12-21,2023-12-18
3441605,,0,0,2013-01-31,2024-01-24
3595515,0,0,2,2013-02-14,2023-07-10
3630303,0,0,0,2013-02-18,2024-01-21
3654686,,4,6,2013-02-21,2024-02-22
3806576,0,3,3,2013-03-08,2023-12-18
3826227,0,0,1,2013-03-10,2023-03-06
3955395,0,2,0,2013-03-24,2023-09-22
3973230,0,4,8,2013-03-26,2023-07-26
4129379,,0,0,2013-04-11,2016-02-27
4445541,0,0,0,2013-05-16,2019-12-19
4475142,0,30,25,2013-05-20,2024-04-03
4477245,0,3,5,2013-05-20,2022-11-23
4503513,0,1,0,2013-05-22,2021-06-02
4510183,0,0,0,2013-05-23,2016-02-27
4531215,,0,0,2013-05-26,2016-02-27
4592898,1,0,0,2013-06-02,2022-06-26
4643304,,15,10,2013-06-07,2023-12-31
4709879,0,4,1,2013-06-16,2021-10-14
4716778,0,1,0,2013-06-17,2024-01-18
4736850,0,1,0,2013-06-19,2016-02-27
4808798,,21,36,2013-06-24,2024-02-02
5019560,0,204,448,2013-07-16,2024-04-02
5039147,0,0,0,2013-07-18,2020-08-19
5045783,0,4,2,2013-07-19,2024-01-31
5047424,0,0,1,2013-07-19,2024-03-27
5120818,0,0,0,2013-07-30,2024-01-20
5333339,0,0,0,2013-08-28,2020-09-24
5718635,0,0,0,2013-10-18,2024-03-09
5908430,,0,7,2013-11-11,2024-01-15
5999078,,18,0,2013-11-21,2024-04-02
6130991,0,58,0,2013-12-07,2024-04-04
6144022,,5,6,2013-12-09,2024-03-18
6152014,0,0,1,2013-12-10,2024-03-24
6233728,0,3,9,2013-12-20,2023-11-20
6338572,0,0,0,2014-01-07,2023-10-13
6535422,,1,3,2014-01-29,2023-07-26
6548183,0,0,0,2014-01-30,2022-02-02
6551654,,0,0,2014-01-31,2020-08-05
6670085,,3,0,2014-02-13,2018-10-16
6688438,0,4,6,2014-02-15,2024-03-20
6787828,0,0,0,2014-02-25,2022-09-08
6823987,,40,21,2014-03-01,2024-04-03
6915391,0,0,0,2014-03-11,2021-02-22
6969148,,16,37,2014-03-16,2023-10-17
6969163,,0,0,2014-03-16,2021-10-22
6995340,0,3,7,2014-03-19,2023-06-22
6997214,0,0,4,2014-03-19,2016-06-04
7068535,0,7,10,2014-03-26,2024-04-02
7080071,0,0,0,2014-03-27,2016-02-27
7204760,0,0,1,2014-04-07,2022-06-09
7235738,,0,0,2014-04-09,2016-02-27
7243229,0,0,0,2014-04-09,2024-04-03
7244134,0,0,0,2014-04-09,2022-09-07
7290190,,0,0,2014-04-14,2016-02-27
7302358,0,0,0,2014-04-15,2024-03-22
7589719,,7,41,2014-05-15,2024-01-08
7591781,,0,0,2014-05-15,2016-02-27
7609797,,3,9,2014-05-17,2021-01-31
7645536,,0,0,2014-05-20,2016-02-27
7691358,0,23,40,2014-05-24,2024-03-13
7769689,,0,0,2014-06-02,2016-02-27
7800463,0,0,1,2014-06-05,2016-02-27
7803333,0,27,1,2014-06-05,2024-04-03
7911110,0,2,4,2014-06-17,2024-04-05
8029526,0,0,2,2014-06-30,2024-02-28
8059168,,0,0,2014-07-03,2016-07-11
8069196,0,1,0,2014-07-04,2017-01-07
8094131,0,0,0,2014-07-07,2016-02-27
8167004,0,0,0,2014-07-15,2023-07-28
8342748,,4,9,2014-08-03,2024-02-07
8362985,0,8,1,2014-08-05,2023-12-16
8392187,0,3,6,2014-08-08,2016-02-27
8420618,,2,1,2014-08-11,2016-02-27
8434472,0,0,0,2014-08-13,2014-08-13
8435818,0,9,15,2014-08-13,2016-02-27
8494091,0,3,2,2014-08-19,2016-02-26
8513088,,0,0,2014-08-21,2022-04-13
8559503,0,0,0,2014-08-26,2016-02-27
8641905,0,1,5,2014-09-03,2024-02-23
8768392,0,1,0,2014-09-14,2022-12-09
8783921,0,2,0,2014-09-15,2022-12-15
8825214,,2,14,2014-09-18,2024-02-20
8840165,0,0,6,2014-09-20,2024-03-07
8881986,0,0,0,2014-09-23,2024-03-31
8969075,,67,42,2014-09-30,2024-03-26
8999039,0,40,13,2014-10-02,2024-04-03
8999513,,0,5,2014-10-02,2023-10-09
9043223,0,1,6,2014-10-06,2023-09-25
9050002,0,0,0,2014-10-07,2014-10-07
9259308,0,0,0,2014-10-15,2023-10-19
9322404,0,0,0,2014-10-20,2015-03-17
9333187,0,0,0,2014-10-21,2020-08-03
9362127,0,3,3,2014-10-23,2024-03-20
9397472,0,0,1,2014-10-25,2024-01-26
9430785,3,1,0,2014-10-28,2016-02-27
9496788,0,4,21,2014-11-01,2024-03-19
9721057,0,1,3,2014-11-13,2023-06-01
9781670,0,1,0,2014-11-16,2023-10-13
9819921,0,3,2,2014-11-18,2024-01-31
10023220,0,2,8,2014-12-01,2024-03-18
10035726,,0,0,2014-12-01,2018-05-21
10071940,0,0,0,2014-12-04,2021-04-21
10192081,,0,0,2014-12-15,2022-09-04
10496524,,1,0,2015-01-12,2024-04-05
10538876,0,4,1,2015-01-14,2023-11-06
10654641,,8,10,2015-01-22,2023-11-17
10763752,,2,1,2015-01-29,2024-02-17
10852278,,1,0,2015-02-04,2023-09-25
10864249,,17,47,2015-02-05,2024-04-03
10880501,0,26,1,2015-02-06,2023-08-10
10881554,,0,0,2015-02-06,2023-06-15
10888023,0,4,8,2015-02-06,2024-02-20
10922795,,1,9,2015-02-09,2023-10-19
11079693,,7,7,2015-02-19,2024-04-01
11230500,,1,2,2015-02-27,2024-03-25
11247633,0,85,50,2015-02-28,2024-02-29
11255406,0,3,2,2015-03-01,2020-10-01
11262620,0,2,2,2015-03-02,2022-07-12
11368305,6,7,2,2015-03-07,2024-04-04
11401407,,0,0,2015-03-10,2016-02-28
11492577,0,0,0,2015-03-15,2020-10-07
11584640,0,4,9,2015-03-21,2024-04-03
11768427,0,0,1,2015-04-02,2023-12-23
11927641,0,3,2,2015-04-13,2023-12-27
11987675,0,33,25,2015-04-17,2024-03-02
12021468,0,66,84,2015-04-19,2024-03-24
12033296,0,12,11,2015-04-20,2024-04-03
12100397,0,22,27,2015-04-24,2024-03-11
12243288,,2,3,2015-05-04,2021-07-09
12348993,,1,0,2015-05-08,2016-02-28
12411682,,34,0,2015-05-12,2023-08-07
12594159,,0,0,2015-05-25,2024-03-24
12596808,,9,51,2015-05-25,2024-02-13
12608296,,1,0,2015-05-26,2020-06-20
12674539,,0,1,2015-05-30,2019-06-28
12690964,5,0,0,2015-06-01,2016-02-28
12692919,0,0,0,2015-06-01,2024-02-28
12703662,0,0,0,2015-06-01,2023-12-12
12964071,,11,29,2015-06-19,2024-04-02
13015969,0,1,0,2015-06-23,2024-03-05
13021754,,4,9,2015-06-23,2023-11-22
13223576,,1,0,2015-07-07,2020-05-28
13261750,0,0,3,2015-07-09,2024-01-23
13303659,0,0,9,2015-07-12,2022-05-27
13356453,,0,0,2015-07-15,2015-07-20
13402312,,0,5,2015-07-19,2024-02-07
13482373,0,106,99,2015-07-24,2024-04-03
13621066,0,23,45,2015-08-03,2024-04-03
13643179,8,2,8,2015-08-04,2024-03-03
13769987,5,13,3,2015-08-12,2024-04-05
13784462,0,0,0,2015-08-13,2024-02-22
13836260,0,6,5,2015-08-17,2023-11-20
13968552,8,0,0,2015-08-25,2024-03-23
13984100,,58,104,2015-08-26,2024-04-03
14042840,,0,0,2015-08-30,2021-05-15
14114666,,5,4,2015-09-03,2024-04-03
14216355,0,0,0,2015-09-10,2016-02-28
14273351,,0,0,2015-09-14,2024-02-11
14326204,0,3,6,2015-09-17,2024-02-15
14326647,0,0,0,2015-09-17,2023-06-15
14886079,0,0,0,2015-09-29,2024-03-29
14886229,0,0,0,2015-09-29,2020-11-11
14894533,0,0,0,2015-09-29,2016-12-09
14907689,0,2,34,2015-09-30,2016-02-28
14910228,0,4,2,2015-09-30,2021-10-13
14937813,0,0,0,2015-10-02,2021-12-26
15047907,,4,38,2015-10-09,2022-03-14
15089428,0,0,0,2015-10-12,2016-02-28
15192264,0,4,4,2015-10-19,2023-10-15
15202121,,0,1,2015-10-19,2024-04-05
15213215,0,3,6,2015-10-20,2023-02-22
15256665,,7,8,2015-10-23,2023-12-05
15413104,0,3,1,2015-10-30,2023-08-26
15954190,0,0,1,2015-11-21,2023-10-06
15990102,,0,0,2015-11-23,2016-02-28
16305023,,25,21,2015-12-15,2024-04-03
16611541,0,8,6,2016-01-08,2024-03-26
16646217,,1,0,2016-01-11,2018-07-20
16683201,6,0,0,2016-01-13,2016-11-05
17021181,2,0,0,2016-02-02,2022-03-25
17209308,0,0,0,2016-02-12,2016-09-19
17267747,0,6,7,2016-02-16,2023-02-16
17293418,0,0,0,2016-02-17,2022-07-07
17307013,0,2,2,2016-02-18,2024-03-27
17466635,,0,0,2016-02-25,2022-06-21
17637439,,3,31,2016-03-04,2024-03-21
17989477,,7,33,2016-03-21,2023-11-13
18084264,0,0,0,2016-03-26,2023-03-25
18194047,0,11,7,2016-03-31,2023-08-28
18216969,0,1,12,2016-04-01,2023-10-05
18285082,0,21,121,2016-04-05,2024-03-15
18400142,0,269,47,2016-04-11,2024-02-13
18407118,0,0,0,2016-04-11,2020-03-28
18415360,0,10,24,2016-04-12,2024-02-21
18603314,0,13,83,2016-04-21,2024-03-20
18709463,0,2,5,2016-04-27,2024-04-03
18726326,,0,0,2016-04-28,2020-09-10
19157803,,0,0,2016-05-02,2016-05-02
19210598,,0,1,2016-05-05,2022-09-19
19254270,,19,35,2016-05-08,2023-12-25
19359776,0,46,49,2016-05-14,2023-10-06
19366367,,0,0,2016-05-14,2023-10-11
19436752,0,1,0,2016-05-18,2024-02-28
19644754,0,2,16,2016-05-30,2024-01-25
19708061,0,1,2,2016-06-02,2022-06-22
19786159,0,0,2,2016-06-06,2023-12-07
19816874,0,0,6,2016-06-08,2024-04-02
19908522,0,0,0,2016-06-13,2016-06-13
