user_id,has_moz_owner,fav_lang,fav_topic
404506,True,Ruby,accordion
584572,True,Python,audio
705308,True,PHP,php
755840,True,PHP,php
858200,False,,git
943711,True,Ruby,
1241552,False,Python,
1554715,True,JavaScript,machine-learning
1572774,True,Java,
1692858,True,PHP,php
2129497,False,C,electron
3595515,False,C,css
3806576,True,JavaScript,javascript
3826227,True,,cms
3955395,True,PHP,alibaba
4475142,True,JavaScript,react
4643304,True,JavaScript,nodejs
4716778,True,Java,
4808798,True,Python,python
5019560,True,JavaScript,javascript
5045783,True,JavaScript,android
6130991,True,PHP,php
6144022,True,JavaScript,machine-learning
6535422,True,Java,
6688438,True,Groovy,demographics
6787828,False,PHP,application-wrapper
6823987,True,Go,golang
6915391,False,,careers
6969148,True,PHP,api
6995340,False,TypeScript,react-native
7068535,False,HTML,careers
7589719,False,TypeScript,vue
7609797,False,TypeScript,careers
7691358,True,,dart
7803333,True,JavaScript,browser
8029526,True,Java,synced-settings
8167004,True,PHP,php
8342748,True,JavaScript,java
8362985,True,,
8641905,False,JavaScript,30daysofjavascript
8768392,True,Python,
8783921,True,JavaScript,javascript
8825214,False,Python,esmf
8840165,False,,javascript
8881986,False,HTML,json-ld
8969075,True,JavaScript,mpesa
8999039,True,PHP,php
9043223,False,C++,command-line
9259308,False,CSS,accordion
9362127,False,Python,css
9496788,False,Python,hacktoberfest
9721057,False,,
9781670,False,Rust,
10023220,False,JavaScript,bypass
10496524,False,TypeScript,angular
10864249,True,PHP,laravel
10880501,True,TypeScript,typescript
10888023,True,Python,bpmn
10922795,False,,hacking
11079693,True,PHP,api
11230500,False,Makefile,climate
11247633,True,JavaScript,javascript
11255406,True,Java,android
11262620,False,Swift,swift
11368305,False,JavaScript,css
11584640,True,Java,java
11721133,False,PHP,laravel
11927641,False,Dart,flutter
11987675,True,JavaScript,javascript
12021468,True,Python,hacktoberfest
12033296,True,JavaScript,css-questions
12100397,True,JavaScript,javascript
12243288,False,Java,android
12692919,False,Java,
12964071,False,Java,java
13021754,True,JavaScript,hacktoberfest
13303659,False,Dart,android
13402312,False,JavaScript,mozambique
13482373,True,JavaScript,android
13621066,False,,awesome-list
13769987,True,,hacktoberfest
13836260,True,Java,android
13968552,False,PHP,laravel
13984100,True,PHP,hacktoberfest
14114666,False,Shell,docker
14132620,True,Python,
14326204,True,C#,dotnet
14907689,True,,
14910228,False,HTML,
15047907,True,JavaScript,bootstrap
15192264,True,JavaScript,
15213215,False,PHP,
15256665,False,TypeScript,ai-art
15413104,False,Java,uber-clone
16305023,True,,javascript
17209308,False,TypeScript,careers
17267747,True,JavaScript,hacktoberfest
17307013,False,PHP,framework
17637439,True,,javascript
17989477,True,Java,gamification
18194047,False,,
18216969,False,Java,
18285082,True,C#,hacktoberfest
18400142,True,,javascript
18415360,True,,javascript
18603314,True,,hacktoberfest
18709463,True,Java,java
19210598,True,PHP,api
19254270,True,HTML,api
19359776,True,Kotlin,android
19366367,False,JavaScript,react
19644754,True,Python,android
20244168,False,CSS,animation
20360517,True,Dart,e-commerce
20440015,True,,javascript
20488304,True,TypeScript,laravel
20513587,True,TypeScript,javascript
20571696,True,Java,java
20590787,True,JavaScript,hacktoberfest
20599605,True,JavaScript,javascript
20662186,False,,google-cloud
20702024,True,Java,java
20819246,True,Python,
20905674,True,JavaScript,laravel
21008078,True,JavaScript,mpesa-developer-portal
21173712,True,JavaScript,keycloak
21192973,False,Java,framework
21342696,True,TypeScript,typescript
22245869,True,PHP,laravel
22305507,False,Swift,
22327331,False,JavaScript,icmp-ping
22341964,True,Python,python
22344536,False,TypeScript,careers
22374063,False,HTML,apps
22597065,True,Java,
22640209,False,TypeScript,angular
22657992,False,TypeScript,hacktoberfest
23185608,True,JavaScript,vue
23555833,True,,cordova
23740775,True,JavaScript,javascript
23740856,True,,hacktoberfest
24277044,False,,dataset
24395031,True,Python,python
24765887,True,Java,
24827083,True,JavaScript,blog
24903262,False,TypeScript,careers
24928542,False,Java,careers
25220784,True,,
25407841,True,Java,android
25800161,False,,books
25843851,True,,hacktoberfest
25931668,False,PHP,framework
26120352,False,C++,careers
26214872,True,JavaScript,react
26558566,False,TypeScript,careers
26708649,True,C#,asp-net-core
26844915,True,JavaScript,javascript
27642985,True,Python,python
27733133,False,JavaScript,javascript
27965287,True,C#,hacktoberfest
28258862,True,JavaScript,
28735704,False,PHP,laravel
28783718,False,Python,javascript
28985401,True,Kotlin,android
29178934,True,,
29462510,True,JavaScript,
29792912,False,Java,
29806633,True,JavaScript,nextjs
30077420,False,TypeScript,
30090160,False,HTML,
30523874,True,Java,css3
30528631,False,JavaScript,atom
30689866,True,,bootstrap
31000619,True,JavaScript,
31033591,True,PHP,laravel
31217604,True,Blade,composer
31237771,True,JavaScript,application-realtime
31238878,True,JavaScript,python
31242188,True,,react
31246918,True,JavaScript,javascript
31282507,False,HTML,boostrap
31408474,True,,blog-engine
31477051,False,Python,machine-learning
31759362,False,Python,
31899027,True,CSS,
31945644,True,PHP,php
32058262,True,Java,android
32066945,True,Kotlin,android
32402003,False,C#,
32514855,True,PHP,mpesa
32665277,True,Java,
32770980,False,HTML,django
33702490,True,,hacktoberfest
33831855,True,,best-of
33861085,True,JavaScript,javascript
33977992,True,,python
34401880,True,,
34800399,True,,config
34924212,True,TypeScript,typescript
35003387,True,Java,android
35046818,True,JavaScript,blockchain
35900188,False,HTML,
36237054,False,JavaScript,chatbot
36325257,True,HTML,css
36434948,False,Java,
36505998,True,Java,android
36619381,True,PHP,mpesa
36881559,True,JavaScript,css
37243873,True,Dart,flutter
37326584,False,,animation
37635729,True,JavaScript,javascript
37686832,False,Java,hacktoberfest
38020305,True,Kotlin,android
38070519,True,HTML,estudos
38094400,True,Java,
38292962,True,HTML,bootstrap
38326420,True,Java,
38478347,True,Dart,aplicativo
38946066,True,Python,hacktoberfest
39172682,False,,tutorials
39738870,False,TypeScript,
39951469,False,Java,
40000916,False,JavaScript,hacktoberfest
40174805,True,Python,discord
40181269,True,Java,java
40224762,True,JavaScript,javascript
40237204,True,JavaScript,javascript
40593690,True,C,bios
40625547,False,JavaScript,css
40658328,True,Dart,dart
41486295,False,Python,angular
41967397,True,,msisdn-validate
41967811,True,JavaScript,laravel
42138007,False,Vue,vue
42249792,False,PHP,
42285178,True,HTML,bootstrap
42302155,False,HTML,material
42326571,False,C#,api
42444957,True,JavaScript,javascript
42467879,True,Java,java
42480265,True,PHP,api
42482463,False,PHP,
42523503,True,Java,
42549629,True,C#,
42754835,True,PHP,vue
43210563,False,Jupyter Notebook,bootstrap4
43370602,True,Dart,flutter
43747467,True,JavaScript,javascript
43821098,True,Dart,kotlin
43821186,False,Go,cli
43821712,True,Java,javascript
43958695,True,Python,django
43994481,False,PHP,laravel
44199686,True,Dart,
44291462,False,JavaScript,windows
44292931,True,JavaScript,react
44563964,True,Kotlin,android
44772199,True,JavaScript,react
45265091,True,HTML,
45293066,True,JavaScript,express
45578804,False,QML,electron
46070272,True,PHP,cyber-security
46302322,True,,
46322274,True,HTML,lists
46556049,False,C++,nodejs
46570027,False,C#,c-sharp
46673118,True,HTML,calculator
47828211,False,Java,
48277037,False,C#,c-sharp
48757536,True,Java,nlw-06
48864686,True,,react
48907382,True,Dart,flutter
48980408,False,,
49094323,True,TypeScript,expo
49195303,True,TypeScript,javascript
49291509,True,Dart,flutter
49428431,True,JavaScript,algorithm
49757028,True,TypeScript,formatter
49768748,False,Python,python
