id,owner_id,language,created_at,updated_at,stargazers_count,forks_count
610791194,346687,Java,2023-03-07,2023-03-07,0,0
613695207,346687,,2023-03-14,2023-03-14,0,0
250598823,404506,Java,2020-03-27,2020-08-27,0,0
251688437,404506,Shell,2020-03-31,2020-04-08,0,0
10096889,404506,Java,2013-05-16,2013-05-16,0,0
257866740,404506,,2020-04-22,2020-04-22,0,0
268869213,404506,,2020-06-02,2020-06-02,0,0
61646822,404506,Java,2016-06-21,2016-06-21,0,0
141803285,404506,Java,2018-07-21,2023-04-09,1,2
142219593,404506,Java,2018-07-24,2018-11-06,0,0
173836763,404506,TypeScript,2019-03-04,2019-03-04,0,0
252873387,404506,Jupyter Notebook,2020-04-04,2020-06-08,0,0
631830443,404506,Java,2023-04-24,2023-04-24,0,0
115794665,404506,JavaScript,2017-12-30,2017-12-30,0,0
308480938,404506,,2020-10-30,2020-10-30,0,0
530383706,404506,Dockerfile,2022-08-29,2022-08-29,0,0
511077869,404506,,2022-07-06,2021-08-14,0,0
187626591,404506,Shell,2019-05-20,2019-07-30,0,0
137887373,404506,Shell,2018-06-19,2018-06-19,0,0
164251331,404506,Shell,2019-01-05,2019-01-05,0,0
56224159,404506,JavaScript,2016-04-14,2016-04-14,0,0
71793981,404506,Java,2016-10-24,2016-10-31,0,0
69795617,404506,Shell,2016-10-02,2016-10-02,0,0
143833937,404506,Shell,2018-08-07,2018-08-08,0,0
15005814,404506,Java,2013-12-07,2013-12-07,0,0
250599859,404506,Java,2020-03-27,2022-12-07,0,0
92660671,404506,Java,2017-05-28,2017-05-28,0,5
176814659,404506,Java,2019-03-20,2024-04-30,2,0
189686329,404506,Shell,2019-06-01,2020-08-27,0,0
187170584,404506,Java,2019-05-17,2023-01-29,3,0
177799484,404506,TypeScript,2019-03-26,2022-10-16,0,0
272390404,404506,Dockerfile,2020-06-15,2021-08-23,0,0
252495912,404506,Shell,2020-04-02,2020-05-12,0,0
319550967,404506,,2020-12-08,2021-08-23,0,0
2867040,404506,JavaScript,2011-11-28,2013-01-04,1,0
32316568,404506,,2015-03-16,2015-03-16,0,0
135948759,404506,,2018-06-03,2018-06-03,0,0
141999918,404506,Java,2018-07-23,2018-10-21,0,0
144773244,404506,Java,2018-08-14,2019-01-03,0,0
173834997,404506,TypeScript,2019-03-04,2019-03-04,0,0
2867310,404506,Ruby,2011-11-28,2013-01-04,1,0
62224202,404506,Java,2016-06-29,2016-06-29,0,0
56519537,404506,,2016-04-18,2016-04-15,0,0
84042802,404506,Java,2017-03-06,2017-03-06,0,0
394300603,404506,,2021-08-09,2022-04-18,0,0
60834384,404506,Java,2016-06-10,2016-06-10,0,0
147522270,404506,Java,2018-09-05,2018-09-05,0,0
99231338,404506,Java,2017-08-03,2017-08-03,0,0
511170268,404506,,2022-07-06,2022-03-17,0,0
210356352,404506,Java,2019-09-23,2021-10-28,1,0
60517441,404506,Java,2016-06-06,2016-06-06,0,0
84190922,404506,Java,2017-03-07,2017-03-07,0,0
74446353,404506,Java,2016-11-22,2016-11-22,0,0
63339438,404506,Java,2016-07-14,2016-07-14,0,0
127125651,404506,Java,2018-03-28,2018-03-28,0,0
24074263,404506,,2014-09-15,2014-08-20,0,0
13507230,404506,Ruby,2013-10-11,2013-10-11,0,0
11145257,404506,Java,2013-07-03,2013-07-03,0,0
241744727,404506,,2020-02-19,2020-02-19,0,0
1574224,404506,Ruby,2011-04-05,2015-03-10,1,0
26142690,404506,,2014-11-03,2014-10-28,0,0
8588016,404506,Ruby,2013-03-05,2013-12-01,0,0
173834652,404506,,2019-03-04,2019-04-24,0,0
77208474,404506,Java,2016-12-23,2016-12-23,0,0
79669085,404506,Java,2017-01-21,2017-01-21,0,0
56223970,404506,HTML,2016-04-14,2016-04-14,0,0
64871078,404506,HTML,2016-08-03,2016-08-03,0,0
6046881,404506,,2012-10-02,2014-04-21,0,0
11901060,404506,,2013-08-05,2013-08-05,0,0
352025736,510444,,2021-03-27,2021-03-30,0,0
11981819,705308,JavaScript,2013-08-08,2013-08-08,0,0
66297562,705308,Python,2016-08-22,2016-08-22,0,0
18919935,705308,Java,2014-04-18,2014-12-21,3,1
18943109,705308,,2014-04-19,2020-05-14,1,0
226807203,705308,,2019-12-09,2019-12-09,0,0
16508967,705308,JavaScript,2014-02-04,2014-02-04,0,0
25481465,705308,,2014-10-20,2014-10-20,0,0
535297150,705308,,2022-09-11,2022-09-10,0,0
283311216,705308,PHP,2020-07-28,2023-07-30,5,2
214125833,705308,,2019-10-10,2019-10-10,0,0
18007868,705308,JavaScript,2014-03-22,2014-03-22,0,0
116005173,705308,HTML,2018-01-02,2018-01-02,0,0
299888568,705308,,2020-09-30,2020-09-30,0,0
18920348,705308,,2014-04-18,2014-04-18,0,0
26959421,705308,PHP,2014-11-21,2014-11-21,0,0
377500070,705308,,2021-06-16,2021-06-16,0,0
69713858,705308,C++,2016-10-01,2016-10-27,0,0
17739499,705308,JavaScript,2014-03-14,2014-03-14,0,0
21543325,705308,,2014-07-06,2014-07-03,0,0
5148297,705308,JavaScript,2012-07-23,2013-01-11,1,0
214035754,705308,,2019-10-09,2019-10-09,0,0
493547155,705308,,2022-05-18,2022-05-02,0,0
272088155,705308,,2020-06-13,2020-06-13,0,0
165086396,705308,PHP,2019-01-10,2019-01-10,0,0
153249995,705308,JavaScript,2018-10-16,2018-10-28,0,0
288468869,705308,Dockerfile,2020-08-18,2022-01-26,1,0
283211838,705308,PHP,2020-07-28,2020-07-28,0,0
126646310,705308,PHP,2018-03-24,2024-01-04,44,24
62691843,705308,,2016-07-06,2016-07-04,0,1
107769929,705308,PHP,2017-10-21,2017-10-21,0,0
102844108,705308,PHP,2017-09-08,2017-09-08,0,0
224860736,705308,Dockerfile,2019-11-29,2021-01-26,1,0
55476797,705308,JavaScript,2016-04-05,2016-04-05,0,0
62382753,705308,PHP,2016-07-01,2016-07-01,0,0
460192882,705308,,2022-02-16,2022-02-16,0,0
2410369,705308,JavaScript,2011-09-18,2019-12-31,1,0
463541633,705308,,2022-02-25,2022-01-21,0,0
30801701,705308,JavaScript,2015-02-14,2015-02-14,0,0
44662197,705308,PHP,2015-10-21,2015-10-21,0,0
463354238,705308,,2022-02-25,2022-02-25,0,0
52636145,705308,C++,2016-02-26,2016-02-26,0,0
106116962,705308,JavaScript,2017-10-07,2017-10-07,0,0
46669118,705308,PHP,2015-11-22,2016-03-09,0,0
30463733,705308,JavaScript,2015-02-07,2015-02-07,0,0
40477336,705308,PHP,2015-08-10,2015-08-10,0,0
40604102,705308,PHP,2015-08-12,2015-08-12,0,0
40604085,705308,PHP,2015-08-12,2015-08-12,0,0
33441115,705308,PHP,2015-04-05,2015-04-05,0,0
12967247,705308,Python,2013-09-20,2023-10-10,0,0
628531332,755840,,2023-04-16,2023-04-16,0,0
628387992,755840,PHP,2023-04-15,2023-04-15,0,0
233905790,755840,PHP,2020-01-14,2024-04-15,13,10
123629558,755840,PHP,2018-03-02,2018-03-02,0,0
550644293,755840,PHP,2022-10-13,2022-10-24,0,0
250230751,755840,,2020-03-26,2020-03-26,0,0
59563860,858200,,2016-05-24,2016-05-24,0,0
59563807,858200,,2016-05-24,2016-05-24,0,0
2474345,943711,Ruby,2011-09-28,2014-04-23,1,0
2385323,943711,,2011-09-14,2013-10-07,1,0
2117216,943711,Ruby,2011-07-28,2013-01-03,1,0
2488579,943711,Ruby,2011-09-30,2014-04-01,1,0
9622529,1238258,,2013-04-23,2014-03-24,0,0
11529496,1238258,Ruby,2013-07-19,2014-01-03,0,0
9619727,1238258,Ruby,2013-04-23,2013-04-23,0,0
11498118,1238258,,2013-07-18,2013-10-10,0,0
17018628,1238281,JavaScript,2014-02-20,2014-02-20,0,0
15966787,1238281,PHP,2014-01-16,2015-06-23,1,0
15968342,1238281,PHP,2014-01-16,2014-05-10,0,0
16001540,1238281,PHP,2014-01-17,2014-01-17,0,0
13676907,1238281,PHP,2013-10-18,2013-10-18,0,0
13438511,1238281,CSS,2013-10-09,2013-10-09,0,0
452157444,1238281,HTML,2022-01-26,2022-01-26,0,0
13617231,1238281,,2013-10-16,2013-10-16,0,0
14109706,1238281,PHP,2013-11-04,2013-11-04,0,0
14139856,1238281,PHP,2013-11-05,2013-11-05,0,0
34689704,1401510,Java,2015-04-27,2015-04-27,0,0
112447067,1554715,JavaScript,2017-11-29,2017-11-29,0,0
381781250,1554715,,2021-06-30,2021-06-30,0,0
47285134,1554715,Ruby,2015-12-02,2015-12-02,0,0
67038646,1554715,Java,2016-08-31,2016-08-31,0,0
66647699,1554715,Java,2016-08-26,2016-08-26,0,2
4745849,1554715,JavaScript,2012-06-22,2013-10-30,1,0
351452595,1554715,Jupyter Notebook,2021-03-25,2023-07-12,1,0
94073295,1554715,JavaScript,2017-06-12,2018-08-02,0,0
98389489,1554715,JavaScript,2017-07-26,2017-08-09,0,0
133935385,1554715,Shell,2018-05-18,2018-05-18,0,0
108107046,1554715,JavaScript,2017-10-24,2017-10-24,0,0
110673754,1554715,Shell,2017-11-14,2018-04-16,0,0
293054781,1554715,,2020-09-05,2020-09-05,0,0
74823520,1554715,Java,2016-11-26,2016-11-26,0,0
531926486,1554715,,2022-09-02,2022-07-14,0,0
283837777,1554715,,2020-07-30,2020-07-30,0,0
110946760,1554715,Java,2017-11-16,2018-04-30,0,0
114371117,1554715,Java,2017-12-15,2017-12-15,0,0
114387711,1554715,Java,2017-12-15,2017-12-15,0,0
107661498,1554715,Java,2017-10-20,2018-06-04,0,0
155347665,1554715,Java,2018-10-30,2018-11-12,0,0
77904150,1554715,Java,2017-01-03,2017-02-02,1,0
44806457,1554715,Ruby,2015-10-23,2015-10-23,0,0
11095053,1554715,Haskell,2013-07-01,2017-09-08,0,0
293473594,1554715,Python,2020-09-07,2021-02-13,0,0
11267815,1572774,JavaScript,2013-07-08,2013-08-17,0,0
48226540,1572774,C,2015-12-18,2015-12-18,0,0
481841799,1572774,,2022-04-15,2022-04-13,0,0
17452143,1572774,Java,2014-03-05,2014-03-05,1,1
557697933,1572774,,2022-10-26,2022-10-26,0,0
77847080,1572774,JavaScript,2017-01-02,2017-01-02,0,0
11267538,1572774,,2013-07-08,2023-01-28,0,0
31136246,1572774,PHP,2015-02-21,2015-02-21,0,0
29983646,1572774,PHP,2015-01-28,2015-01-28,0,0
294628477,1572774,,2020-09-11,2020-09-11,0,0
77606152,1572774,JavaScript,2016-12-29,2016-12-29,0,0
67488118,1572774,Python,2016-09-06,2016-09-06,0,0
290278606,1572774,JavaScript,2020-08-25,2020-09-03,0,0
32417399,1572774,,2015-03-17,2015-03-17,0,0
557913038,1572774,,2022-10-26,2022-10-13,0,0
557929083,1572774,,2022-10-26,2022-10-09,0,0
30929632,1572774,C,2015-02-17,2015-02-17,0,0
11267352,1572774,,2013-07-08,2014-05-13,0,0
40074520,1572774,Python,2015-08-02,2015-08-02,0,0
11251836,1572774,PHP,2013-07-08,2013-07-08,0,0
34140406,1572774,C#,2015-04-17,2016-05-16,0,0
557881908,1572774,,2022-10-26,2022-10-26,0,0
11267762,1572774,,2013-07-08,2013-07-08,0,0
29980871,1572774,C,2015-01-28,2015-01-28,0,0
15956959,1572774,Python,2014-01-16,2014-01-16,0,0
